timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-08-29T22:49:04,codecarbon,a9d11380-fb30-43db-b26f-8dbd6d8a238b,3.90822319999984,1.862793321215419e-05,4.766343235502762e-06,42.5,0.0,5.971029281616211,4.613589388888721e-05,0,6.470080113462919e-06,5.260597400235013e-05,Argentina,ARG,buenos aires,,,Windows-11-10.0.22631-SP0,3.12.3,2.6.0,8,AMD Ryzen 5 PRO 2400G with Radeon Vega Graphics,,,-59.9964,-36.0,15.922744750976562,machine,N,1.0
2024-08-29T22:52:46,codecarbon,37c551e9-3582-4f78-924c-5e9737aaa006,4.050050300000294,1.295962785183764e-07,3.199868369989553e-08,42.5,0.0,5.971029281616211,4.781017784722634e-05,0,6.705749341283959e-06,5.4515927188510304e-05,Canada,CAN,quebec,,,Windows-11-10.0.22631-SP0,3.12.3,2.6.0,8,AMD Ryzen 5 PRO 2400G with Radeon Vega Graphics,,,-71.2,46.8,15.922744750976562,machine,N,1.0
2024-08-29T22:53:53,codecarbon,def63191-2816-49ac-8106-9e2789b05c81,0.1176219000003584,5.557230694370362e-07,4.724656457983953e-06,42.5,0.0,5.971029281616211,1.385704236111628e-06,0,1.836783148326911e-07,1.569382550944319e-06,Argentina,ARG,buenos aires,,,Windows-11-10.0.22631-SP0,3.12.3,2.6.0,8,AMD Ryzen 5 PRO 2400G with Radeon Vega Graphics,,,-59.9964,-36.0,15.922744750976562,machine,N,1.0
2024-08-29T22:54:17,codecarbon,f0132c35-ac56-4664-bdf5-955faf551012,4.020829200000208,1.9165372883004984e-05,4.766522508094597e-06,42.5,0.0,5.971029281616211,4.746568937500229e-05,0,6.658034182846654e-06,5.412372355784894e-05,Argentina,ARG,buenos aires,,,Windows-11-10.0.22631-SP0,3.12.3,2.6.0,8,AMD Ryzen 5 PRO 2400G with Radeon Vega Graphics,,,-59.9964,-36.0,15.922744750976562,machine,N,1.0
2024-08-29T22:55:42,codecarbon,6cfc0f20-6740-43cd-bcb7-748ab3d8e657,4.127779199999623,1.967410165277729e-05,4.766267937194676e-06,42.5,0.0,5.971029281616211,4.8727859097221926e-05,0,6.832533367053409e-06,5.5560392464275335e-05,Argentina,ARG,buenos aires,,,Windows-11-10.0.22631-SP0,3.12.3,2.6.0,8,AMD Ryzen 5 PRO 2400G with Radeon Vega Graphics,,,-59.9964,-36.0,15.922744750976562,machine,N,1.0
2024-08-29T23:00:28,codecarbon,bccaa786-c8a3-47f1-ba14-9d27ea5cd379,4.019215699999677,1.915761164274969e-05,4.766504978260119e-06,42.5,0.0,5.971029281616211,4.744613819444415e-05,0,6.655667333183944e-06,5.410180552762809e-05,Argentina,ARG,buenos aires,,,Windows-11-10.0.22631-SP0,3.12.3,2.6.0,8,AMD Ryzen 5 PRO 2400G with Radeon Vega Graphics,,,-59.9964,-36.0,15.922744750976562,machine,N,1.0
2024-08-29T23:03:43,codecarbon,27f0efbd-574d-453b-8a9b-e686ecb5998b,3.9359699999999975,1.8760156929221743e-05,4.766336361613975e-06,42.5,0.0,5.971029281616211,4.646293020833178e-05,0,6.516448473073754e-06,5.297937868140553e-05,Argentina,ARG,buenos aires,,,Windows-11-10.0.22631-SP0,3.12.3,2.6.0,8,AMD Ryzen 5 PRO 2400G with Radeon Vega Graphics,,,-59.9964,-36.0,15.922744750976562,machine,N,1.0
2024-08-29T23:08:35,codecarbon,29be1e5c-bf11-4dce-90b4-a91e8bc8cea7,3.954046599999856,1.884647946168561e-05,4.766377680446736e-06,42.5,0.0,5.971029281616211,4.66773734027773e-05,0,6.545783310624207e-06,5.322315671340151e-05,Argentina,ARG,buenos aires,,,Windows-11-10.0.22631-SP0,3.12.3,2.6.0,8,AMD Ryzen 5 PRO 2400G with Radeon Vega Graphics,,,-59.9964,-36.0,15.922744750976562,machine,N,1.0
2024-08-29T23:15:08,codecarbon,78b69d07-8629-42f6-b808-0e3af374a465,4.124696299999869,1.9660145690303217e-05,4.7664468509606016e-06,42.5,0.0,5.971029281616211,4.869219923610931e-05,0,6.828781072736466e-06,5.5520980308845774e-05,Argentina,ARG,buenos aires,,,Windows-11-10.0.22631-SP0,3.12.3,2.6.0,8,AMD Ryzen 5 PRO 2400G with Radeon Vega Graphics,,,-59.9964,-36.0,15.922744750976562,machine,N,1.0
2024-08-29T23:20:36,codecarbon,b24f3b89-6cea-474b-9178-5dafcf78c914,3.839130299999852,1.829856338541345e-05,4.76633038097565e-06,42.5,0.0,5.971029281616211,4.532045819444351e-05,0,6.355363206147433e-06,5.167582140059094e-05,Argentina,ARG,buenos aires,,,Windows-11-10.0.22631-SP0,3.12.3,2.6.0,8,AMD Ryzen 5 PRO 2400G with Radeon Vega Graphics,,,-59.9964,-36.0,15.922744750976562,machine,N,1.0
